id_filename,decision_sign,name,party,legal area,entscheid
287,6B_591/2025,Guidon,SVP,Strafrecht,abgewiesen
288,2C_48/2026,Kradolfer,FDP,Öffentliches Recht,abgewiesen
289,7B_249/2026,Kölz,Grüne,Strafrecht,abgewiesen
28,6B_497/2025,Guidon,SVP,Strafrecht,abgewiesen
290,6B_711/2025,Guidon,SVP,Strafrecht,abgewiesen
291,6F_4/2026,Guidon,SVP,AndererBereich,abgewiesen
292,6B_401/2025,Wohlhauser,SP,Strafrecht,gutgeheissen
293,7B_1108/2025,Hofmann,Die Mitte,Strafrecht,abgewiesen
294,7B_356/2026,Kölz,Grüne,Strafrecht,abgewiesen
295,6B_946/2025,Glassey,Die Mitte,Strafrecht,abgewiesen
296,6F_2/2026,Wohlhauser,SP,AndererBereich,abgewiesen
299,6B_709/2025,Glassey,Die Mitte,Strafrecht,abgewiesen
29,5A_1070/2025,Josi,SVP,Zivilrecht,abgeschrieben
2,6B_350/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
300,6B_777/2025,Guidon,SVP,Strafrecht,abgewiesen
301,6B_886/2025,Guidon,SVP,Strafrecht,abgewiesen
302,6B_820/2025,Bischoff,FDP,Strafrecht,abgewiesen
303,2C_727/2025,Ryter,SP,Öffentliches Recht,abgewiesen
305,5A_1091/2025,Josi,SVP,Zivilrecht,abgewiesen
306,6B_118/2026,Wohlhauser,SP,Strafrecht,abgewiesen
307,6B_775/2025,Glassey,Die Mitte,Strafrecht,abgewiesen
308,6B_966/2025,Wohlhauser,SP,Strafrecht,teilweise gutgeheissen
309,7B_1029/2024,Hofmann,Die Mitte,Strafrecht,gutgeheissen
30,5A_124/2026,Josi,SVP,Zivilrecht,abgewiesen
311,7B_20/2026,Hofmann,Die Mitte,Strafrecht,abgewiesen
314,"5A_483/2025, 5A_495/2025",Hartmann,Grüne,Zivilrecht,teilweise gutgeheissen
315,5A_932/2025,De Rossa,SP,Zivilrecht,teilweise gutgeheissen
318,5A_526/2026,Josi,SVP,Zivilrecht,abgewiesen
319,8C_111/2026,Métral,Grüne,Öffentliches Recht,gutgeheissen
320,2C_645/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
321,9C_111/2026,Parrino,SP,Öffentliches Recht,nicht eingetreten
327,5A_233/2026,Josi,SVP,Zivilrecht,abgewiesen
328,6B_160/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
329,6B_162/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
330,7B_316/2024,Hofmann,Die Mitte,Strafrecht,abgewiesen
331,1C_87/2026,D. Hänni,SP,Öffentliches Recht,gutgeheissen
333,9C_375/2025,Bollinger,SVP,Öffentliches Recht,abgewiesen
334,1C_4/2026,Merz,Mitte,Öffentliches Recht,abgewiesen
338,9C_639/2025,Parrino,SP,Öffentliches Recht,abgewiesen
340,7B_1393/2024,Kölz,Grüne,Strafrecht,abgewiesen
341,7B_382/2026,Hofmann,Die Mitte,Strafrecht,abgewiesen
342,7B_652/2025,van de Graaf,SVP,Strafrecht,abgewiesen
345,6B_744/2025,Lötscher,SP,Strafrecht,abgewiesen
346,6B_92/2026,Lötscher,SP,Strafrecht,gutgeheissen
347,2C_534/2025,Hänni,Die Mitte,Öffentliches Recht,nicht eingetreten
348,5A_466/2026,Josi,SVP,Zivilrecht,abgewiesen
